comment,text_clean,sentiment,sentiment_score
[Sticker] ,sticker,Positif,0.6144
"Sedih banget ternyata kecuali aku, masih banyak warga Indonesia yang belum dapet kerja. Semangat semua.",sedih banget ternyata aku banyak warga indonesia dapet kerja semangat semua,Negatif,0.9937
anjayy jokesnyaa,anjayy jokesnyaa,Negatif,0.7022
"POV dapet kerja dari ordal 😂
""belanja tanpa lihat harga"" itu maksudnya lebih murah dari gerai manapun bukan kek gini yang nggak ada label harganya",pov dapet kerja ordal belanja lihat harga maksudnya lebih murah gerai manapun bukan kek gini label harganya,Positif,0.6177
sudah beli macan,beli macan,Negatif,0.9003
wkwkwkkwkwk lahan korupsi lagi,wkwkwkkwkwk lahan korupsi,Negatif,0.9979
smoga di dsa ku GX JD di bangun koprasi MP JD sdr q yg jualan di dsa GK terpengaruh dg harga.. KDMP,smoga dsa ku gx jd bangun koprasi mp jd sdr yg jualan dsa gk terpengaruh dg harga kdmp,Positif,0.9395
tetep beli warung sebelah..klo lebaran kasih bingkisan..bisa ngutang..✌️,tetep beli warung sebelah klo lebaran kasih bingkisan ngutang,Positif,0.4835
"micenan duit nupuguh mah,nyienan bangunan",micenan duit nupuguh mah nyienan bangunan,Negatif,0.9753
wakakkaa nol besaaar,wakakkaa nol besaaar,Positif,0.98
"cuma idenya saja pak , kalau bisa jangan di lanjutkan lah",cuma idenya pak kalau jangan lanjutkan lah,Negatif,0.9544
ini tuh kek selesai ga selesai di kumpulin gt ga sih? duh maaff😭🙏,tuh kek selesai ga selesai kumpulin gt ga sih duh maaff,Negatif,0.9905
kirain apa...😌 kalo kya gini sih merusak tatanan perekonomian umkm yg punya usaha dan warung-warung kecil😏,kirain apa kalo kya gini sih merusak tatanan perekonomian umkm yg punya usaha warung warung kecil,Negatif,0.9965
[Sticker] ,sticker,Positif,0.6144
hancurrrr,hancurrrr,Negatif,0.9976
mna aku mikirnya juga gitu lgi,mna aku mikirnya gitu lgi,Negatif,0.9928
Sepertinya bekas alpa atau indo itu wkwk tinggal akuisisi.. so bangunan koprasijua beda sama yg ada di desa2,sepertinya bekas alpa indo wkwk tinggal akuisisi so bangunan koprasijua beda sama yg desa,Negatif,0.962
well good for you sis.,well good for you sis,Positif,0.9718
bisa ga sih bikin konten nya lebih menarik lagi 😭 seenggaknya enak di liat gitu konten nya,ga sih bikin konten nya lebih menarik seenggaknya enak liat gitu konten nya,Positif,0.9891
[Sticker] masak miloooo semuaaaa,sticker masak miloooo semuaaaa,Positif,0.9281
"negara kok gitu banget sih , sampai jatah buat rakyat kecil disaingain",negara kok gitu banget sih jatah buat rakyat kecil disaingain,Negatif,0.9974
aaku dipklan udah🥰,aaku dipklan udah,Netral,0.9139
tabung melon 16.000 😂😂😂,tabung melon,Netral,0.926
"warung2 kecil bisa belanja dari sini anggap aja ini glosir , dan d jual lagi bisa lebih murah jual dari biasanya, jngan anggap ini saingan buat warung kecil",warung kecil belanja sini anggap aja glosir jual lebih murah jual biasanya jngan anggap saingan buat warung kecil,Positif,0.7371
"Jam operasionalnya aja terbatas, gitu kok nyuruh indomart-alfa tutup. Gimana klo org butuh malem-malem?",jam operasionalnya aja terbatas gitu kok nyuruh indomart alfa tutup gimana klo org butuh malem malem,Negatif,0.8065
LDR an banget yak barang barangnya 😭,ldr an banget yak barang barangnya,Negatif,0.9843
galaku,galaku,Negatif,0.9814
kenapa gapake planogram?🤣🤣,gapake planogram,Negatif,0.9011
lahhh.. barangnya aja cuma itu🤣🤣,lahhh barangnya aja cuma,Negatif,0.6497
"wis,wis saya orang desa nganyambung ucapan Mentri kayak gini.usaha maunya disuapin",wis wis orang desa nganyambung ucapan mentri kayak gini usaha maunya disuapin,Negatif,0.9934
ohh gara gara dia indo Alfa terancam tutup 😆.,ohh gara gara indo alfa terancam tutup,Netral,0.8792
Kelen paham gak peresmian itu apa 😂 udh jelas jelas harus ready siap semua,kelen paham gak peresmian apa udh jelas jelas ready siap semua,Netral,0.5629
kaya grosir bahkan lbh lengkap grosir,kaya grosir bahkan lbh lengkap grosir,Positif,0.9305
ini warung bukan koperasi😂,warung bukan koperasi,Negatif,0.9817
ngene loh mas,ngene loh mas,Negatif,0.9108
sama aja jadi pesaing UMKM,sama aja jadi pesaing umkm,Negatif,0.994
Warung tetangga no 1 🦭,warung tetangga no,Netral,0.7277
display versi ldr,display versi ldr,Netral,0.9356
"sekelas proyek pemerintah kalah sama swasta? mikir ih malu, opening indomaret aja ga se grasak grusuk ini",sekelas proyek pemerintah kalah sama swasta mikir ih malu opening indomaret aja ga se grasak grusuk,Negatif,0.9976
gak penting,gak penting,Negatif,0.9971
satu th,satu th,Positif,0.7048
pling utama keluarga dluu yg belinya,pling utama keluarga dluu yg belinya,Positif,0.8987
"soalnya pengaruh ke UMKM kecil kak ... bagaimana nasip warung kecil seperti kami ... sedangkan penghasilan hanya dr warung itu ... klu g laku buat biaya sekolah anak ,buat hidup pakai apa?",soalnya pengaruh umkm kecil kak bagaimana nasip warung kecil penghasilan dr warung klu laku buat biaya sekolah anak buat hidup pakai apa,Negatif,0.8417
Ni kak,ni kak,Netral,0.9772
penting kebak,penting kebak,Positif,0.9667
bener seharus nya sidak pasar bukan menaikkan bisnis sendiri Dengan harga murah,bener seharus nya sidak pasar bukan menaikkan bisnis sendiri harga murah,Positif,0.576
presiden di bohongi sama bawahannya,presiden bohongi sama bawahannya,Negatif,0.9966
Ha?😳,ha,Negatif,0.6609
klo hujan. neduh dmna itu,klo hujan neduh dmna,Netral,0.8454
percaya la pak..sehabis BPK pigi harga kembali normal😅😅😅,percaya la pak sehabis bpk pigi harga normal,Positif,0.9467
tetap belanja di Alfa indo sama Superindo ya kawan,tetap belanja alfa indo sama superindo kawan,Positif,0.7513
hayoo tebak brp lama wkkwkw,hayoo tebak brp lama wkkwkw,Netral,0.9477
"indomaret, alfamart di tutup.tapi pabrik minuman kerasa?",indomaret alfamart tutup pabrik minuman kerasa,Netral,0.9965
gimik bnget program prabowo kalau meemng ditujukan untk petani dan nelayan kasih aja voucer sekalliann terus tebusnya ke minimarket dan supermarkeet terdekat .eh inu malah buat program yg habisin anggaran negara,gimik bnget program prabowo kalau meemng ditujukan untk petani nelayan kasih aja voucer sekalliann terus tebusnya minimarket supermarkeet terdekat eh inu malah buat program yg habisin anggaran negara,Negatif,0.9799
Kayaaak maenan ajaaa raknya,kayaaak maenan ajaaa raknya,Positif,0.879
Stok secimit gitu? 😂😂😂,stok secimit gitu,Negatif,0.8531
katanya boycot,katanya boycot,Negatif,0.6473
"Alfa/Indomart ngrekrut tenaga krja lulusan SmA/SMK sederajat
kopdes ngrekrut tenaga kerja ank mantu cucu lurah dan instansi terkait",alfa indomart ngrekrut tenaga krja lulusan sma smk sederajat kopdes ngrekrut tenaga kerja ank mantu cucu lurah instansi terkait,Netral,0.9812
"yang penting gas 16 Ribu, minyak 15.500",penting gas ribu minyak,Netral,0.7863
kalah sam warung daeng,kalah sam warung daeng,Negatif,0.9955
Barangnya keliatan kaya baris bebaris,barangnya keliatan kaya baris bebaris,Negatif,0.7438
"ga mau ke kopdes ah, ga bisa top up ewallet, ga bisa setor dan tarik tunai bank lewat kasir",ga mau kopdes ah ga top up ewallet ga setor tarik tunai bank lewat kasir,Negatif,0.9934
"bujug le mineral goceng, itu mah sama aja kya warung? 😅😅😅",bujug le mineral goceng mah sama aja kya warung,Negatif,0.6303
ada kopdes.. atau apa pun itu.. aku kalau. lagi mudik... udah biasa belanja stock sabun.. dan sebagai nya di supermarket... biar kaka ku aman.. ngga kurang stock.... beli sayur langsung ke pasar... warung kalau ada yg kurang aja.. kaya bumbu.... lebih enak belanja di supermarket... tinggal ambil ambil... bayar... hati tenang... ngga yakin stock sabun dsb habis,kopdes apa aku kalau mudik udah biasa belanja stock sabun nya supermarket biar kaka ku aman ngga kurang stock beli sayur langsung pasar warung kalau yg kurang aja kaya bumbu lebih enak belanja supermarket tinggal ambil ambil bayar hati tenang ngga yakin stock sabun habis,Positif,0.9537
"minyaknya bening"" yg di pajang..
yg di pasar butek"" kaya minyak curah",minyaknya bening yg pajang yg pasar butek kaya minyak curah,Positif,0.9711
harusnya satu rak satu barang.trs main bola kan lega😁😁😁😁😁,harusnya satu rak satu barang trs main bola kan lega,Negatif,0.7461
"Bagus Pak, niat dan tujuan nya. Namun tolong perbaiki tata kelola nya secara komprehensif. Tempatkan org2 terbaik sbg PIC utk memperbaiki tata kelola nya, hrs org berintegritas tinggi dan profesional.",bagus pak niat tujuan nya perbaiki tata kelola nya komprehensif tempatkan org terbaik sbg pic utk memperbaiki tata kelola nya hrs org berintegritas tinggi profesional,Positif,0.9208
display ne kok acak kabur...wkwkwk,display ne kok acak kabur wkwkwk,Negatif,0.9956
ya allah disigin ny kaya jaman purba,allah disigin ny kaya jaman purba,Negatif,0.9516
"ngapain bangun kmp klo udh ada indoapril/alfa , klo sepi ga ada yg beli palkng jadi proyek mangkrak buang"" anggaran",ngapain bangun kmp klo udh indoapril alfa klo sepi ga yg beli palkng jadi proyek mangkrak buang anggaran,Negatif,0.9946
"tinggal boikot kopdes, selesai",tinggal boikot kopdes selesai,Netral,0.5635
"ingat yaa, program apapun yg dikelola negri akan rugi contoh: BRI,PLN dll",ingat yaa program apapun yg dikelola negri rugi contoh bri pln,Negatif,0.9939
Bawa KTP segala?,bawa ktp segala,Netral,0.9844
"janganlah,, soale apa2 yg dikelola pemerinta ujung2nya rugi terus.. pln- rugi,, pertamina-rugi..😅",janganlah soale apa yg dikelola pemerinta ujungnya rugi terus pln rugi pertamina rugi,Negatif,0.9969
ttp msh enakan belanja di Alfa / indort.,ttp msh enakan belanja alfa indort,Positif,0.994
mirip supermarket simulator 😹😹,mirip supermarket simulator,Netral,0.5853
tapi aneh pendaftarannya lokernya harus deploma D3. dan S1,aneh pendaftarannya lokernya deploma,Negatif,0.995
gimana nasib gw pedang kecil woyyy gw beli gas di agen nya aj udh 20 RB😭😭😭,gimana nasib gw pedang kecil woyyy gw beli gas agen nya aj udh rb,Negatif,0.5584
[Sticker] iiii apanih,sticker iiii apanih,Negatif,0.9895
Yg ada malu”in diri sendiri kak protes ke perangkat desa yg ada dibalik fakta jd kita yg salah,yg malu in diri sendiri kak protes perangkat desa yg dibalik fakta jd yg salah,Negatif,0.9969
buang buang anggaran:(,buang buang anggaran,Negatif,0.9971
stok e dikit kak wkkw,stok dikit kak wkkw,Netral,0.8084
Alfamart and Indomaret tetap di hatiii yang lain misi dulu yahhh 😁,alfamart and indomaret tetap hatiii misi dulu yahhh,Netral,0.9751
[Sticker] 😂😂,sticker,Positif,0.6144
"jangan nyuruh alfa dan indomaret di tutup pak,emang bapak mau nanggung semua kebutuhan karyawan alfa dan indomaret kalau sampai di tutup,pikir lagi kalau kasih wacana.",jangan nyuruh alfa indomaret tutup pak emang bapak mau nanggung semua kebutuhan karyawan alfa indomaret kalau tutup pikir kalau kasih wacana,Negatif,0.9931
5 hari LG tutup,hari lg tutup,Netral,0.9428
"wss kyo pas cah sd dodolan, training wae sek pak e",wss kyo pas cah sd dodolan training wae sek pak,Negatif,0.994
tutup 🤣🤣🤣,tutup,Netral,0.4818
ramean warung meduro,ramean warung meduro,Positif,0.9804
Ngomong aja minimarket. Ngapain pake koperasi sih😭,ngomong aja minimarket ngapain pake koperasi sih,Negatif,0.9421
harga sesuai wilayah Tinggal KK/KTP ..yg perantau bearti harga nya GK segitu yaa??,harga sesuai wilayah tinggal kk ktp yg perantau bearti harga nya gk segitu yaa,Netral,0.4632
"di Blora Jawa Tengah kop merah putih belum jalan pak .....
kemaren baru rapat saja.",blora jawa tengah kop merah putih jalan pak kemaren baru rapat,Netral,0.9975
masih bagusan display toko madura🗿,bagusan display toko madura,Positif,0.9828
S7 pa,pa,Positif,0.8802
untung 2 M huntu,untung huntu,Positif,0.9938
siapa sih yg bisikin pk praroro untuk bikin mbg dan kopdes?,siapa sih yg bisikin pk praroro bikin mbg kopdes,Negatif,0.9722
kalian merhatiin nggak? tiap lorong2 nya sempit bgt cuma cukup 1 orang doang,kalian merhatiin tiap lorong nya sempit bgt cuma cukup orang doang,Negatif,0.9943
ih ga mood belanjanya juga😭,ih ga mood belanjanya,Negatif,0.996
DIMANA MINYAKKITA YANG 15.700? YANG ADA MAKIN MAHAL SEKARANG SATU DUS DI GROSIR UDAH 240,minyakkita makin mahal sekarang satu dus grosir udah,Negatif,0.9936
